value,name
1948/12/6,12月6日
1949,1949年底
1949,1949年
1949/5/25,1949年5月25日
1949/6/15,1949年6月15日
Aug-49,1949年8月
1949/8/1,建军节
Sep-49,1949年9月
Oct-49,1949年10月
1949/10/19,1949年10月19日
1949/11/1,11月1日
1949/11/2,明天
1949/11/2,1949年11月2日
1949/11/11,1949年11月11日
Dec-49,1949年12月
1949-SU,夏
195,50年代
1950,1950年初
1950,1950年
1950,1950年底
1950/3/22,1950年3月22日
1950/6/6,1950年6月6日
1950/6/25,1950年6月25日
Sep-50,1950年9月
1950/10/1,1950年10月1日
1950/11/2,1950年11月2日
1951,１９５１年
1951,1951年
Feb-51,1951年2月
Apr-51,1951年4月
1951/9/18,1951年9月18日
1952,1952年
Jan-52,1952年1月
Feb-52,2月
Jul-52,1952年7月
Sep-52,1952年9月
Dec-52,1952年12月
1953,1953年
1953/5/24,1953年5月24日
Jul-53,1953年7月
1953/7/1,1953年7月1日
1953/11/23,1953年11月23日
1953/11/24,昨天
1953/11/25,1953年11月25日
1953/11/26,1953年11月26日
1953-FA,秋
1953-H1,1953年上半年
1953-SP,春
1953-SU,夏
1954,今年
1954,1954年
1954/1/17,昨天
1954/1/18,1954年1月18日
Apr-54,1954年4月
May-54,1954年5月
Jul-54,1954年7月
1954/8/20,1954年8月20日
1954/12/21,1954年12月21日
1955,1955年
Mar-55,1955年3月
Apr-55,1955年4月
Sep-55,1955年9月
1955/9/27,1955年9月27日
Oct-55,1955年10月
1955/10/1,10月1日
Dec-55,12月
1956,今年
1956,1956年
Jan-56,1956年1月
1956/2/10,1956年2月10日
1956/2/13,1956年2月13日
Mar-56,3月
Apr-56,1956年4月
Apr-56,今年4月份
Jun-56,1956年6月
1956/6/5,1956年6月5日
1956/7/13,1956年7月13日
1956/9/30,1956年9月30日
1956/10/1,国庆节
1956/10/14,10月14日
1956/10/19,10月19日
Nov-56,1956年11月
1956/12/10,12月10日
1956-SP,春
1957,1957年
1957,1957
1957/2/10,1957年2月10日
Mar-57,1957年3月
1957/5/19,1957年5月19日
1957/6/1,6月1日
1957/6/6,1957年6月6日
1957/7/22,7月22
1957/7/25,1957年7月25日
1957/8/1,建军节
Sep-57,1957年9月
1957/10/4,1957年10月4日
1958,1958年
Mar-58,1958年3月
Apr-58,1958年4月底
1958/4/15,1958年4月15日
1959,1959年
Oct-59,1959年10月
1959/12/6,1959年12月6日
1959/12/24,1959年12月24日
1959-WI,冬
1959-WI,冬季
196,60年代
196,60年代后期
196,六十年代中期
1960,1960年
1960,今年
Apr-60,1960年4月
1960/4/26,1960年4月26日
Oct-60,1960年10月
1960/10/31,万圣节
1960-SU,夏
1960-WI,冬天
1960-WI,冬季
1961,1961年
Apr-61,1961年4月
1961/9/2,1961年9月2日
1961/9/3,明天
1962,1962年
1962,今年
1962/2/9,1962年2月9日
May-62,1962年5月
Nov-62,1962年11月
Dec-62,1962年12月
1963,1963年
Mar-63,1963年3月
May-63,1963年5月
Jul-63,1963年7月
Oct-63,1963年10月
1963/10/13,1963年10月13日
Nov-63,11月
1964,1964年
Apr-64,1964年4月
1964/12/25,圣诞节
1964-WI,1964年冬
1964-WI,冬
1964-WI,冬季
1965,１９６５年
1965,1965年
1965/2/19,1965年2月19日
Jun-65,1965年6月
Jul-65,1965年7月
Aug-65,1965年8月
1965/10/24,10月24日
1965/11/1,11月1日
1965-WI,冬季
1966,今年
1966,1966
1966,1966年
Jan-66,1966年1月中旬
1966/2/20,1966年2月20日
Mar-66,1966年3月
Apr-66,1966年4月
1966/4/14,四月十二至十四
May-66,五月初
1966/7/8,1966年7月8日
1966/8/24,1966年8月24日
Sep-66,9月
1966-FA,秋
1966-SU,夏季
1966-WI,冬
1967,1967年
1967,1967
Jan-67,1967年1月
Feb-67,1967年2月
Mar-67,1967年3月
Jun-67,1967年6月
Sep-67,1967年9月
1967/10/24,1967年10月24日
1967/10/27,10月27日
1967/10/28,10月28
1967/10/31,10月31日
Nov-67,新月
1967/11/1,11月1日
1967/11/3,11月3日
1967/11/5,11月5
1967/11/7,11月7日
1967/11/8,11月8日
1967/11/9,11月9日
1967/11/12,11月12日
1967/11/13,11月13日
1967/11/13,1967年11月13日
1967/11/14,11月14日
1967/11/15,11月15
1967/11/18,11月18日
1967/11/19,11月19
1967/11/26,11月26日
1968,1968年
1968,１９６８年
Jan-68,1968年1月
1968/2/4,1968年2月4日
1968/7/11,1968年7月11日
1968/10/31,1968年10月31日
Nov-68,1968年11月
1968/12/28,1968年12月28日
1968-WI,1968年冬
1969,1969年
1969,今年
1969,今年年底
1969,1969年初
Mar-69,1969年3月
Mar-69,3月
Mar-69,3月份
Apr-69,1969年4月
Apr-69,4月
1969/10/17,1969年10月17日
197,70年代初期
197,70年代
197,新时期
1970,1970年
1970,１９７０年
1970,今年
Sep-70,1970年9月
1970/11/11,11月11日
1970-SP,春
1971,1971年
Apr-71,1971年4月
May-71,1971年5月
1971/9/13,1971年9月13日
Oct-71,1971年10月
Dec-71,1971年12月
1972,1972年
Oct-72,1972年10月
1972/10/26,1972年10月26日
Dec-72,12月
1973,１９７３年
1973,今年
1973,去年
1973,1973
1973,1973年
Jan-73,1973年1月
Feb-73,1973年2月
1973/4/8,1973年4月8日
May-73,1973年5月
Jul-73,今年7月
1973/8/13,1973年8月13日
Sep-73,1973年9月
1973/9/8,1973年9月8日
1973/10/11,今年１０月１１日
Nov-73,1973年11月
1973/11/19,1973年11月19日
1973/11/21,1973年11月21日
1973/12/15,1973年12月15日
1973-SP,春季
1974,1974
1974,１９７４年
1974,1974年年底
1974,明年
1974,1974年
1974/2/7,1974年2月7日
1974/2/15,1974年2月15日
1974/3/22,1974年3月22日
May-74,1974年5月
1974/7/31,1974年7月31日
1974/8/15,1974年8月15日
1974/9/10,1974年9月10日
1974/9/30,1974年9月30日
1974/10/27,1974年10月27日
1974/11/12,1974年11月12日
1974/12/25,圣诞节
1975,1975年
1975,1975
1975,去年底
1975,今年
May-75,1975年5月
1975/6/7,1975年6月7日
Jul-75,7月初
1975/7/20,1975年7月20日
Aug-75,1975年8月
Nov-75,1975年11月
1975/12/15,1975年12月15日
1975/12/20,12月20日
1975-WI,冬季
1976,五五
1976,1976年
1976,去年
1976,1976年底
1976,今年
1976/2/23,1976年2月23日
Apr-76,4月
1976/5/20,1976年5月20日
1976/5/24,1976年5月24日
1976/5/25,1976年5月25日
1976/5/28,1976年5月28日
Aug-76,1976年8月份
Aug-76,1976年8月
Aug-76,8月底
1976/9/26,9月26日
Oct-76,10月
1976/10/6,10月6日
Nov-76,11月
Nov-76,11月中旬
1976/11/15,11月15日
1976/11/18,11月18日
1976/12/5,1976年12月5日
1976-FA,1976年秋天
1976-FA,1976年秋
1976-WI,冬
1976-WI,冬季
1977,明年
1977,1977年
1977,1977
1977,去年同期
Feb-77,1977年2月
1977/2/20,1977年2月20日
Mar-77,1977年3月
Mar-77,3月底
1977/5/1,明年五月一日
Jun-77,6月中旬
1977/6/9,1977年6月9日
Jul-77,1977年7月
Aug-77,8月
Oct-77,1977年10月
1977/12/15,1977年12月15日
1977/12/18,1977年12月18日
1977/12/22,1977年12月22日
1977/12/23,1977年12月23日
1977/12/24,1977年12月24日
1977/12/29,1977年12月29日
1977-FA,秋
1978,今年
1978,1978年
1978,新年
Jan-78,1978年1月
1978/1/1,1978年1月1日
1978/2/2,1978年2月2日
1978/2/3,1978年2月3日
1978/2/4,1978年2月4日
1978/2/4,明天
May-78,5月末
Jun-78,今年6月末
1978/6/16,1978年6月16日
1978/8/23,1978年8月23日
1978/10/13,1978年10月13日
1978-H1,今年上半年
1979,十五年前
1979,今年
1979,1979年
1979,去年
1979,1979
Jan-79,一九七九年一月
1979/1/9,1979年1月9日
1979/1/20,1月20日
1979/2/11,1979年2月11日
Mar-79,1979年3月
Jun-79,6月
1979/7/4,1979年7月4日
1979/9/1,1979年9月1日
1979/10/26,1979年10月26日
1979/11/29,1979年11月29日
1979/12/6,1979年12月6日
1979/12/24,1979年12月24
1979/12/25,12月25日
1979/12/25,圣诞节
1979-WI,冬季
198,80年代
198,80年代末
198,80年代初
1980,仅一年后
1980,今年
1980,1980年
Jan-80,1月
Jan-80,1980年1月中旬
Feb-80,2月
Feb-80,1980年2月
Apr-80,4月
Jun-80,6月
Jul-80,今年7月
Aug-80,1980年8月
1980/8/21,1980年8月21
1980/8/27,1980年8月27日
Sep-80,今年9月
Oct-80,1980年10月
1980/10/9,10月9
1980/10/10,1980年10月10日
1980/10/17,1980年10月17日
1980-FA,1980年秋
1980-WI,冬
1980-WI,冬季
1981,1981年
Jan-81,1981年1月
1981/1/12,1月12日
1981/1/14,1月14日
Jul-81,1981年7月初
1981/7/29,1981年7月29日
Aug-81,8月
Oct-81,10月
1981/10/30,1981年10月30日
1981/11/10,11月10
1981/11/17,11月17日
1981-FA,秋天
1981-WI,冬
1982,1982年
1982,１９８２年
1982,去年
1982,1982
Feb-82,1982年2月
Mar-82,1982年3月
1982/12/3,1982年12月3日
1982/12/22,1982年12月22日
1982-FA,秋天
1982-SP,春天
1983,1983年
1983,前年
1983,这年
1983/1/1,1983年1月1日
Mar-83,1983年3月
May-83,5月
Jul-83,7月
1983/8/12,1983年8月12日
Sep-83,9月
1983/9/22,1983年9月22日
1983-WI,冬
1983-WI,冬季
1984,十六年前
1984,1984年
1984,四年前
1984,今年
1984,前年
1984/3/16,1984年3月16日
Apr-84,4月
1984/5/14,1984年5月14日
1984/6/13,6月13日
1984/7/7,1984年7月7日
Aug-84,1984年8月
Sep-84,9月
Sep-84,9月中旬
Sep-84,1984年9月
1984-FA,秋天
1984-SP,春天
1984-SP,春季
1984-WI,冬季
1985,1985
1985,1985年
1985,今年
1985,１９８５年
1985,去年
Jan-85,今年1月
1985/1/1,1985年1月1日
1985/1/18,1月18日
Mar-85,3月中旬
1985/4/1,愚人节
1985/5/1,5月1日
Jun-85,今年6月份
Jun-85,6月
Jul-85,1985年7月
1985/7/26,7月26日
Sep-85,上月
Sep-85,9月
Oct-85,1985年10月
Oct-85,10月份
Oct-85,10月
1985/10/1,昨天
1985/10/2,昨天
1985/10/3,昨天
1985/10/4,1985年10月4日
1985/10/27,10月27日
1985/10/28,10月28日
1985/10/30,10月30日
1985/10/31,10月31日
Nov-85,11月初
1985/11/2,11月2日
1985-WI,冬天
1985-WI,冬
1985-WI,冬季
1986,1986年年底
1986,两年前
1986,1986年
1986,今年
1986),１９８５－８６年
1986/1/9,1986年1月9日
Feb-86,去年2月初
1986/3/22,3月22日
1986/3/28,1986年3月28日
May-86,5月
1986/8/15,1986年8月15
Oct-86,1986年10月
Nov-86,11月
Nov-86,1986年11月
Dec-86,1986年12月
1986-WI,冬
1986-WI,冬季
1987,1987年
1987/1/20,1987年1月20日
May-87,5月
1987/7/1,1987年7月1日
1987/8/16,1987年8月16日
Oct-87,10月
Oct-87,1987年10月
1987/10/29,10月29日
1987/10/30,来日
Nov-87,1987年11月
1987/11/2,1987年11月2日
1988,1988
1988,1988年
1988/1/9,1988年1月9日
1988/1/28,1988年1月28日
1988/2/25,2月25日
1988/3/6,3月6日
1988/3/14,3月14日
1988/3/16,3月16日
1988/4/21,4月21日
May-88,1988年5月
1988/5/7,5月7日
1988/6/23,1988年6月23日
1988/6/30,6月30日
Jul-88,1988年7月
1988/7/23,7月23日
1988/7/26,7月26日
1988/8/29,8月29日
1988/9/9,9月9日
1988/9/24,9月24日
Oct-88,1988年10月
1988/10/6,10月6日
Nov-88,1988年11月
1988/11/1,11月1日
1988-WI,1988年冬
1988-WI,冬
1988-WI,冬季
1989,今年
1989,今年年底
1989,1989年
1989/2/9,1989年2月9日
Jun-89,1989年6月
1989/6/23,1989年6月23日
1989/8/24,1989年8月24日
1989/10/4,1989年10月4日
1989/10/24,昨日
1989/10/28,昨日
1989/10/29,昨日
1989/10/29,前日
1989/10/30,昨日
1989/10/30,前日
1989/10/31,10月31日
1989/10/31,昨日
1989/10/31,万圣节
1989/10/31,前日
Nov-89,上个月
1989/11/1,明天
1989/11/1,11月1日
1989/11/1,昨日
1989/11/2,明天
1989/11/3,昨日
1989/11/3,明天
1989/11/4,明天
1989/11/7,11月7日
Dec-89,1989年12月
1989-FA,今秋
1989-FA,秋
1989-FA,秋天
1989-WI,冬
199,90年代
199,90年代末
199,90年代初
199,九十年代
1990,１９９０年
1990,1990年
1990,今年
1990,去年
1990/2/2,1990年2月2日
Apr-90,1990年4月
1990/4/25,4月25日
Jul-90,1990年7月
Aug-90,1990年8月
1990/8/17,8月17日
1990/8/21,8月21日
Sep-90,9月中旬
1990/9/30,9月30日
Oct-90,10月份
1990/10/2,1990年10月2日
Nov-90,11月份
1990/11/2,1990年11月2日
1990/12/1,1990年12月1日
1990-SP,春
1991,1991
1991,１９９１年
1991,1991年
1991,今年
1991,明年
1991,十年前
1991,去年
1991,新年
1991/1/6,1991年1月6日
Mar-91,1991年3月
1991/3/13,1991年3月13日
1991/3/22,3月22日
Apr-91,1991年4月
1991/5/4,1991年5月4日
Aug-91,1991年8月
1991-SP,春
1991-WI,冬
1992,新年
1992,后年
1992,１９９２年
1992,1992年
1992,去年底
1992,四年前
1992,今年
1992,明年
1992/2/14,情人节
1992/2/18,2月18日
1992/3/22,1992年3月22日
Jun-92,1992年6月
1992/6/15,1992年6月15日
Jul-92,1992年7月
1992/8/23,1992年8月23日
Sep-92,1992年9月
1992/10/1,1992年10月1日
1992/11/1,11月1日
1992/11/7,11月7日
Dec-92,1992年12月
1992-FA,秋
1992-SU,夏天
1992-WI,冬
1992-WI,1992年冬
1993,明年
1993,去年
1993,1993年
1993,1993
1993,今年
Mar-93,1993年3月
Apr-93,4月份
May-93,当年5月
May-93,1993年5月
1993/5/10,5月10日
1993/6/20,6月20
Jul-93,1993年7月
Sep-93,1993年9月
1993/9/22,9月22日
1993/9/24,9月24日
Nov-93,11月
1993/11/2,1993年11月2日
1993-SP,春
1993-WI,冬
1994,今年
1994,七年前
1994,1994年
1994,1994年底
Jan-94,1994年1月
Mar-94,1994年3月
Apr-94,1994年四月
Apr-94,本月
1994/5/4,1994年5月4
1994/5/5,5月5日
Aug-94,1994年8月
1994/11/4,1994年11月4日
Dec-94,1994年12月
1994-WI,冬天
1994-WI,冬
1994-WI,冬季
1995,今年
1995,1995年
Jan-95,1995年1月
1995/1/1,1995年1月1日
1995/1/4,1995年1月4日
1995/3/11,1995年3月11日
Apr-95,1995年4月
Apr-95,明年四月份
1995/4/15,4月15日
1995/4/21,4月21日
May-95,1995年5月
1995/8/26,昨日
1995/8/27,昨天
1995/8/28,1995年8月28日
1995/10/16,昨天
1995/10/17,1995年10月17日
1995/10/29,10月29日
Nov-95,1995年11月
1995/11/16,1995年11月16日
1995-SP,春
1995-SU,夏天
1995-SU,今夏
1995-WI,冬
1995-WI,冬季
1996,1996
1996,四年前
1996,今年
1996,九五
1996,去年
1996,１９９６年
1996,1996年
Jan-96,1996年1月
Mar-96,3月
Apr-96,4月
1996/4/21,1996年4月21日
May-96,1996年5月
Jun-96,1996年6月
Jun-96,6月
1996/6/26,1996年6月26日
Jul-96,1996年7月
Jul-96,7月
Aug-96,8月
1996/8/11,1996年8月11日
1996/8/14,8月14日
1996/8/26,1996年8月26日
Sep-96,9月底
Oct-96,1996年10月
1996/10/1,10月1日
Nov-96,明月
1996/11/1,11月1日
1996/11/2,11月2日
Dec-96,12月初
1996-H1,上半年
1996-H2,下半年
1996-H2,1996年下半年
1996-WI,冬天
1996-WI,冬
1996-WI,冬季
1997,1997年
1997,1997年底
1997,不过十年前
1997,明年
1997,去年
Jan-97,1997年1月
1997/1/2,1997年1月2日
1997/1/15,1997年1月15日
Jun-97,1997年6月
1997/7/1,7月1日
Aug-97,1997年8月
1997/8/22,昨天
1997/8/23,昨天
1997/8/23,明天
1997/8/24,昨天
1997/8/25,8月25日
Sep-97,九月末
Oct-97,10月
1997/10/17,10月17日
1997/10/29,10月29日
1997/10/30,10月30日
1997/10/30,来日
1997/10/31,10月31日
Nov-97,1997年11月
1997/11/1,11月1日
Dec-97,1997年12月
1997/12/18,1997年12月18日
1997-SP,春
1997-SU,夏天
1997-WI,冬天
1998,１９９８年
1998,1998年初
1998,1998年
1998,1998
1998,今年
1998,明年
1998),１９９７－９８年
1998/1/1,1998年1月1日
Feb-98,1998年2月
1998/2/25,1998年2月25日
Mar-98,1998年3月
Mar-98,3月
1998/4/7,1998年4月7日
May-98,今年5月
1998/5/12,5月12日
1998/5/25,1998年5月25日
1998/7/8,1998年7月8日
1998/7/12,1998年7月12日
Aug-98,1998年8月
1998/9/10,9月10日
1998/10/21,1998年10月21日
1998/10/31,10月31日
Nov-98,11月
1998/11/2,1998年11月2日
Dec-98,去年12月
1998-SP,春
1998-SP,春天
1998-WI,冬
1998-WI,冬季
1999,明年
1999,去年
1999,１９９９年
1999,1999年
1999,1999年底
1999,一年前
1999,去年年底
1999,1999年年底
1999,直到六年前
1999,1999
1999,1999年初
1999,去年底
1999,今年
Jan-99,今年一月
Jan-99,1999年一月
Feb-99,1999年2月
Mar-99,1999年3月
Apr-99,1999年4月
May-99,1999年5月
Jun-99,1999年6月
1999/6/8,1999年6月8日
1999/7/4,1999年7月4日
